Date,Open,Close
"Nov 11, 2016",89.0,87.45
"Nov 15, 2016",87.45,90.55
"Nov 16, 2016",91.1,92.45
"Nov 17, 2016",92.8,91.25
"Nov 18, 2016",91.5,89.25
"Nov 21, 2016",90.0,84.8
"Nov 22, 2016",84.6,85.85
"Nov 23, 2016",86.3,84.6
"Nov 24, 2016",84.45,81.75
"Nov 25, 2016",83.4,87.65
"Nov 28, 2016",87.5,88.9
"Nov 29, 2016",88.9,88.7
"Nov 30, 2016",90.0,91.15
"Dec 01, 2016",91.3,89.5
"Dec 02, 2016",88.65,86.15
"Dec 05, 2016",86.5,85.8
"Dec 06, 2016",86.5,86.95
"Dec 07, 2016",88.1,86.05
"Dec 08, 2016",86.7,88.6
"Dec 09, 2016",89.0,89.5
"Dec 12, 2016",89.0,88.25
"Dec 13, 2016",88.05,86.5
"Dec 14, 2016",86.9,85.05
"Dec 15, 2016",84.8,84.15
"Dec 16, 2016",84.2,83.4
"Dec 19, 2016",83.25,82.65
"Dec 20, 2016",82.6,82.55
"Dec 21, 2016",82.65,83.9
"Dec 22, 2016",85.05,83.65
"Dec 23, 2016",84.6,83.5
"Dec 26, 2016",84.0,81.3
"Dec 27, 2016",80.55,83.1
"Dec 28, 2016",83.75,82.95
"Dec 29, 2016",83.15,83.35
"Dec 30, 2016",83.9,84.7
"Jan 02, 2017",85.0,84.75
"Jan 03, 2017",85.2,85.35
"Jan 04, 2017",86.0,84.85
"Jan 05, 2017",86.0,86.5
"Jan 06, 2017",86.8,85.95
"Jan 09, 2017",86.1,86.25
"Jan 10, 2017",86.7,86.9
"Jan 11, 2017",87.5,87.35
"Jan 12, 2017",87.0,87.25
"Jan 13, 2017",87.4,87.8
"Jan 16, 2017",87.4,87.05
"Jan 17, 2017",87.4,86.9
"Jan 18, 2017",87.0,85.7
"Jan 19, 2017",86.0,86.5
"Jan 20, 2017",85.9,85.05
"Jan 23, 2017",84.95,85.15
"Jan 24, 2017",85.75,85.95
"Jan 25, 2017",86.9,86.95
"Jan 27, 2017",86.95,88.35
"Jan 30, 2017",88.5,87.95
"Jan 31, 2017",85.9,83.95
"Feb 01, 2017",85.4,83.95
"Feb 02, 2017",84.65,85.1
"Feb 03, 2017",85.5,87.2
"Feb 06, 2017",87.85,87.9
"Feb 07, 2017",88.0,87.55
"Feb 08, 2017",88.45,88.45
"Feb 09, 2017",87.2,87.6
"Feb 10, 2017",88.0,87.7
"Feb 13, 2017",87.75,89.15
"Feb 14, 2017",89.2,87.6
"Feb 15, 2017",87.6,86.1
"Feb 16, 2017",86.4,87.75
"Feb 17, 2017",88.4,87.8
"Feb 20, 2017",87.85,90.75
"Feb 21, 2017",91.6,93.45
"Feb 22, 2017",94.45,94.05
"Feb 23, 2017",94.2,93.5
"Feb 27, 2017",93.5,95.5
"Feb 28, 2017",96.0,96.25
"Mar 01, 2017",97.0,97.05
"Mar 02, 2017",97.0,94.35
